instance,ghtw,triang,balsepkdecomp,globalbipkdecomp,localbipkdecomp,frasmt
hypergraphs_Kakuro-medium-111-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-112-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-114-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-115-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-117-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-118-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-119-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-120-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-121-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-122-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-123-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-124-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-125-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-126-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-127-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-128-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-129-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-130-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-131-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-132-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-133-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-134-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-136-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-137-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-140-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-141-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-145-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-146-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-147-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-149-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-150-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-151-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-152-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-153-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-154-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-155-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-156-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-158-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-159-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-160-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-162-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-165-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-166-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-167-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-168-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-169-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_lubm-q10.hg,1,0.02,0.21,0.54,0.28,3.02
hypergraphs_lubm-q11.hg,1,0.02,0.2,0.27,0.22,0.65
hypergraphs_lubm-q12.hg,1,0.02,RTE,0.17,0.27,0.66
hypergraphs_lubm-q13.hg,1,0.02,0.1,0.12,0.21,0.65
hypergraphs_lubm-q14.hg,1,0.01,0.2,0.17,0.23,0.62
hypergraphs_lubm-q1.hg,1,0.01,0.21,0.11,0.23,0.65
hypergraphs_lubm-q2.hg,2,0.04,0.15,0.48,0.25,0.88
hypergraphs_lubm-q3.hg,1,0.01,0.1,0.22,0.23,2.7
hypergraphs_lubm-q4.hg,1,0.04,0.17,0.37,0.23,2.78
hypergraphs_lubm-q5.hg,1,0.02,0.18,0.16,0.22,0.74
hypergraphs_lubm-q6.hg,1,0.01,0.19,0.42,0.2,0.71
hypergraphs_lubm-q7.hg,1,0.02,0.21,0.24,0.21,2.64
hypergraphs_lubm-q8.hg,1,0.04,0.23,0.27,0.13,2.68
hypergraphs_lubm-q9.hg,2,0.03,0.24,0.18,0.29,2.69
hypergraphs_MaxCSP-connell.xml.hg,3,0.08,0.3,1.05,0.29,8.91
hypergraphs_MaxCSP-eye.xml.hg,2,0.15,0.52,0.37,0.38,120.02
hypergraphs_MaxCSP-simple.xml.hg,2,0.03,0.15,0.31,0.26,1.12
hypergraphs_MaxCSP-spot5-0008.xml.hg,2,0.05,0.24,0.22,0.27,1.22
hypergraphs_MaxCSP-wijsmanguo.xml.hg,2,0.18,0.88,0.55,0.54,277.29
hypergraphs_mdd-7-25-5-56-01.xml.hg,4,0.24,14.59,TO,TO,55.21
hypergraphs_mdd-7-25-5-56-02.xml.hg,5,0.45,TO,TO,TO,TO
hypergraphs_mdd-7-25-5-56-03.xml.hg,4,0.19,13.42,TO,TO,166.04
hypergraphs_mdd-7-25-5-56-04.xml.hg,4,0.19,14.91,TO,TO,68.12
hypergraphs_mdd-7-25-5-56-05.xml.hg,5,0.21,TO,TO,TO,TO
hypergraphs_mdd-7-25-5-56-06.xml.hg,4,0.2,16.81,TO,TO,52.56
hypergraphs_mdd-7-25-5-56-07.xml.hg,4,0.4,TO,TO,TO,179.74
hypergraphs_mdd-7-25-5-56-08.xml.hg,4,0.41,TO,TO,TO,241.02
hypergraphs_mdd-7-25-5-56-09.xml.hg,4,0.26,13.23,TO,TO,66.5
hypergraphs_mdd-7-25-5-56-10.xml.hg,4,0.22,16.27,TO,TO,75.6
hypergraphs_mdd-7-25-5-56-11.xml.hg,4,0.32,TO,TO,TO,186.82
hypergraphs_mdd-7-25-5-56-12.xml.hg,4,0.24,14.98,TO,TO,77.77
hypergraphs_mdd-7-25-5-56-13.xml.hg,4,0.28,2107.03,TO,TO,167.91
hypergraphs_mdd-7-25-5-56-14.xml.hg,4,0.31,TO,TO,TO,83.85
hypergraphs_mdd-7-25-5-56-15.xml.hg,4,0.22,TO,TO,TO,94.12
hypergraphs_mdd-7-25-5-56-16.xml.hg,4,0.23,TO,TO,TO,64.81
hypergraphs_mdd-7-25-5-56-17.xml.hg,4,0.27,19.33,TO,TO,133.21
hypergraphs_mdd-7-25-5-56-18.xml.hg,4,0.2,12.35,TO,TO,80.0
hypergraphs_mdd-7-25-5-56-19.xml.hg,4,0.21,TO,TO,TO,98.65
hypergraphs_mdd-7-25-5-56-20.xml.hg,4,0.21,TO,TO,TO,105.77
hypergraphs_mdd-7-25-5-56-21.xml.hg,4,0.17,15.3,TO,TO,73.46
hypergraphs_mdd-7-25-5-56-22.xml.hg,4,0.18,16.06,TO,TO,76.93
hypergraphs_mdd-7-25-5-56-23.xml.hg,5,0.37,TO,TO,TO,TO
hypergraphs_mdd-7-25-5-56-24.xml.hg,4,0.15,TO,TO,TO,55.69
hypergraphs_mdd-7-25-5-56-25.xml.hg,4,0.21,446.96,TO,TO,98.62
hypergraphs_mdd-7-25-5-ps05-psh07-1.xml.hg,4,0.09,TO,TO,TO,87.33
hypergraphs_mdd-7-25-5-ps05-psh07-2.xml.hg,4,0.26,TO,TO,TO,79.0
hypergraphs_mdd-7-25-5-ps05-psh07-3.xml.hg,4,0.2,24.0,TO,TO,79.88
hypergraphs_mdd-7-25-5-ps05-psh07-4.xml.hg,4,0.26,TO,TO,TO,204.96
hypergraphs_mdd-7-25-5-ps05-psh07-5.xml.hg,4,0.15,17.29,TO,TO,58.11
hypergraphs_mdd-7-25-5-ps05-psh07-6.xml.hg,4,0.32,TO,TO,TO,111.15
hypergraphs_mdd-7-25-5-ps05-psh07-7.xml.hg,4,0.21,TO,TO,TO,203.32
hypergraphs_mdd-7-25-5-ps05-psh07-8.xml.hg,4,0.17,TO,TO,TO,60.48
hypergraphs_mdd-7-25-5-ps05-psh07-9.xml.hg,4,0.13,19.11,TO,TO,112.95
hypergraphs_mdd-7-25-5-ps05-psh09-0.xml.hg,4,0.15,17.99,TO,TO,60.23
hypergraphs_mdd-7-25-5-ps05-psh09-1.xml.hg,5,0.41,TO,TO,TO,TO
hypergraphs_mdd-7-25-5-ps05-psh09-2.xml.hg,4,0.12,20.38,TO,TO,97.21
hypergraphs_mdd-7-25-5-ps05-psh09-3.xml.hg,4,0.34,TO,TO,TO,171.55
hypergraphs_mdd-7-25-5-ps05-psh09-4.xml.hg,4,0.21,15.02,TO,TO,92.03
hypergraphs_mdd-7-25-5-ps05-psh09-5.xml.hg,4,0.19,TO,TO,TO,294.84
hypergraphs_mdd-7-25-5-ps05-psh09-6.xml.hg,4,0.17,TO,TO,TO,61.08
hypergraphs_mdd-7-25-5-ps05-psh09-7.xml.hg,4,0.15,TO,TO,TO,81.92
hypergraphs_mdd-7-25-5-ps05-psh09-8.xml.hg,5,0.2,TO,TO,TO,TO
hypergraphs_mdd-7-25-5-ps05-psh09-9.xml.hg,5,0.55,TO,TO,TO,TO
hypergraphs_NewSystem1.hg,3,0.57,TO,3141.64,TO,1405.6
hypergraphs_NewSystem2.hg,3,29.91,TO,TO,TO,TO
hypergraphs_NewSystem3.hg,-1,TO,TO,TO,TO,TO
hypergraphs_NewSystem4.hg,4,236.57,TO,TO,TO,TO
hypergraphs_Nonogram-001-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-002-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-003-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-004-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-005-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-006-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-007-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-008-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-009-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-010-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-011-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-012-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-013-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-014-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-015-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-016-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-017-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-018-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-020-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-021-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-022-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-023-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-024-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-025-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-027-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-028-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-029-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-030-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-031-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-032-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-033-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-034-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-035-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-036-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-037-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-038-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-039-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-040-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-041-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-042-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-043-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-044-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-045-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-047-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-048-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-049-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-050-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-051-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-053-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-054-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-055-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-056-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-057-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-058-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-059-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-060-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-062-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-063-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-064-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-066-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-067-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-068-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-070-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-072-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-073-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-074-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-075-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-076-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-077-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-078-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-080-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-081-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-082-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-083-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-084-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-085-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-087-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-089-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-091-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-092-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-093-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-094-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-096-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-097-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-098-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-099-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-100-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-101-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-102-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-104-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-105-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-106-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-107-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-108-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-109-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-110-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-111-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-113-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-114-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-115-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-116-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-117-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-118-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-119-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-120-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-121-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-123-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-124-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-125-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-126-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-127-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-128-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-129-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-131-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-132-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-133-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-134-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-135-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-136-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-137-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-138-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-140-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-141-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-142-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-144-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-145-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-146-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-147-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-148-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-149-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-150-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-151-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-152-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-153-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-155-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-156-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-157-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-158-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-159-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-160-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-161-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-162-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-163-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-164-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-165-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-166-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-167-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-168-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-169-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-170-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-171-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-172-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-173-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-175-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-176-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-177-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-178-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-179-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Nonogram-180-table.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Ontology-256-q10.hg,1,0.04,0.21,0.26,0.28,4.02
hypergraphs_Ontology-256-q11.hg,1,0.04,RTE,0.27,0.23,1.44
hypergraphs_Ontology-256-q12.hg,1,0.05,RTE,0.16,0.27,4.68
hypergraphs_Ontology-256-q13.hg,1,0.05,RTE,0.17,0.26,4.27
hypergraphs_Ontology-256-q14.hg,1,0.05,0.25,0.24,0.28,0.95
hypergraphs_Ontology-256-q15.hg,1,0.04,0.27,0.26,0.23,3.18
hypergraphs_Ontology-256-q16.hg,1,0.04,RTE,0.18,0.29,3.65
hypergraphs_Ontology-256-q17.hg,1,0.04,RTE,0.2,0.29,3.94
hypergraphs_Ontology-256-q18.hg,1,0.04,RTE,0.23,0.33,3.88
hypergraphs_Ontology-256-q19.hg,1,0.05,RTE,0.24,0.26,3.97
hypergraphs_Ontology-256-q1.hg,1,0.03,0.15,0.15,0.2,3.28
hypergraphs_Ontology-256-q20.hg,1,0.05,RTE,0.19,0.29,4.27
hypergraphs_Ontology-256-q2.hg,1,0.04,0.15,0.24,0.21,0.87
hypergraphs_Ontology-256-q3.hg,1,0.02,0.16,0.24,0.26,0.98
hypergraphs_Ontology-256-q4.hg,1,0.04,0.13,0.19,0.24,0.8
hypergraphs_Ontology-256-q5.hg,1,0.04,0.23,0.19,0.24,0.86
hypergraphs_Ontology-256-q6.hg,1,0.03,RTE,0.16,0.26,1.32
hypergraphs_Ontology-256-q7.hg,1,0.03,0.19,0.15,0.24,0.81
hypergraphs_Ontology-256-q8.hg,1,0.04,0.2,0.28,0.23,1.22
hypergraphs_Ontology-256-q9.hg,1,0.04,0.14,0.25,0.29,0.85
hypergraphs_par8-1-c.hg,-1,TO,TO,TO,TO,TO
hypergraphs_par8-2-c.hg,-1,TO,TO,TO,TO,TO
hypergraphs_par8-3-c.hg,-1,TO,TO,TO,TO,TO
hypergraphs_par8-4-c.hg,-1,TO,TO,TO,TO,TO
hypergraphs_par8-5-c.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Pi-20-10-20-30-00.xml.hg,4,0.15,TO,TO,TO,259.0
hypergraphs_Pi-20-10-20-30-01.xml.hg,4,0.18,284.21,TO,TO,169.48
hypergraphs_Pi-20-10-20-30-02.xml.hg,4,0.23,TO,TO,TO,90.38
hypergraphs_Pi-20-10-20-30-03.xml.hg,4,0.25,TO,TO,TO,56.18
hypergraphs_Pi-20-10-20-30-04.xml.hg,5,0.46,TO,TO,TO,TO
hypergraphs_Pi-20-10-20-30-05.xml.hg,5,0.41,TO,TO,TO,1570.4
hypergraphs_Pi-20-10-20-30-06.xml.hg,4,0.5800000000000001,TO,TO,TO,319.5
hypergraphs_Pi-20-10-20-30-07.xml.hg,4,0.43,88.46,TO,TO,47.5
hypergraphs_Pi-20-10-20-30-08.xml.hg,5,0.32,TO,TO,TO,3394.4
hypergraphs_Pi-20-10-20-30-09.xml.hg,4,0.22,TO,TO,TO,74.57
hypergraphs_Pi-20-10-20-30-10.xml.hg,4,0.49,TO,TO,TO,166.45
hypergraphs_Pi-20-10-20-30-11.xml.hg,4,0.22,TO,TO,TO,45.96
hypergraphs_Pi-20-10-20-30-12.xml.hg,4,0.15,TO,TO,TO,221.71
hypergraphs_Pi-20-10-20-30-13.xml.hg,5,0.34,TO,TO,TO,TO
hypergraphs_Pi-20-10-20-30-14.xml.hg,4,0.18,TO,TO,TO,49.5
hypergraphs_Pi-20-10-20-30-15.xml.hg,4,0.36,TO,TO,TO,151.89
hypergraphs_Pi-20-10-20-30-16.xml.hg,5,0.51,TO,TO,TO,TO
hypergraphs_Pi-20-10-20-30-17.xml.hg,5,0.46,TO,TO,TO,1772.8
hypergraphs_Pi-20-10-20-30-18.xml.hg,4,0.21,328.08,TO,TO,30.65
hypergraphs_Pi-20-10-20-30-19.xml.hg,4,0.17,723.69,TO,TO,293.56
hypergraphs_Pi-20-10-20-30-20.xml.hg,4,0.44,TO,TO,TO,207.43
hypergraphs_Pi-20-10-20-30-21.xml.hg,4,0.39,TO,TO,TO,551.75
hypergraphs_Pi-20-10-20-30-22.xml.hg,4,0.15,TO,TO,TO,97.41
hypergraphs_Pi-20-10-20-30-23.xml.hg,4,0.59,TO,TO,TO,123.03
hypergraphs_Pi-20-10-20-30-24.xml.hg,5,0.49,TO,TO,TO,TO
hypergraphs_Pi-20-10-20-30-25.xml.hg,4,0.4,TO,TO,TO,147.71
hypergraphs_Pi-20-10-20-30-26.xml.hg,4,0.2,1518.56,TO,TO,35.91
