instance,tw,triang_tw,tamaki,quickbb,p17
primalgraphs_Kakuro-medium-064-ext.xml.hg.graph,6,0.4,0.6599999999999999,TO,0.06
primalgraphs_Kakuro-medium-067-ext.xml.hg.graph,7,2.25,0.84,TO,0.09
primalgraphs_Kakuro-medium-068-ext.xml.hg.graph,6,0.15,0.58,TO,0.05
primalgraphs_Kakuro-medium-069-ext.xml.hg.graph,7,0.02,0.5599999999999999,TO,0.06
primalgraphs_Kakuro-medium-070-ext.xml.hg.graph,7,0.09,0.61,TO,0.08
primalgraphs_Kakuro-medium-071-ext.xml.hg.graph,6,0.06,0.57,TO,0.05
primalgraphs_Kakuro-medium-072-ext.xml.hg.graph,7,0.46,0.59,TO,0.09
primalgraphs_Kakuro-medium-073-ext.xml.hg.graph,6,0.03,0.6,TO,0.05
primalgraphs_Kakuro-medium-074-ext.xml.hg.graph,7,0.04,0.56,TO,0.05
primalgraphs_Kakuro-medium-081-ext.xml.hg.graph,7,13.25,0.6499999999999999,TO,0.06
primalgraphs_Kakuro-medium-082-ext.xml.hg.graph,9,0.19,0.69,TO,0.11
primalgraphs_Kakuro-medium-084-ext.xml.hg.graph,6,0.16,0.5900000000000001,TO,0.06
primalgraphs_Kakuro-medium-085-ext.xml.hg.graph,9,12.88,1.5299999999999998,TO,0.14
primalgraphs_Kakuro-medium-086-ext.xml.hg.graph,7,0.05,0.63,TO,0.05
primalgraphs_Kakuro-medium-089-ext.xml.hg.graph,6,0.04,0.5499999999999999,TO,0.05
primalgraphs_Kakuro-medium-090-ext.xml.hg.graph,7,0.02,0.5700000000000001,TO,0.05
primalgraphs_Kakuro-medium-091-ext.xml.hg.graph,8,TO,1.25,TO,0.06
primalgraphs_Kakuro-medium-093-ext.xml.hg.graph,12,1526.01,5.34,TO,0.1
primalgraphs_Kakuro-medium-094-ext.xml.hg.graph,9,0.02,0.5800000000000001,0.2,0.07
primalgraphs_Kakuro-medium-098-ext.xml.hg.graph,9,TO,1.4100000000000001,TO,0.18
primalgraphs_Kakuro-medium-099-ext.xml.hg.graph,8,226.14,1.05,TO,0.07
primalgraphs_Kakuro-medium-101-ext.xml.hg.graph,8,TO,1.1,TO,0.06
primalgraphs_Kakuro-medium-104-ext.xml.hg.graph,10,MO,1.5299999999999998,TO,0.16
primalgraphs_Kakuro-medium-108-ext.xml.hg.graph,10,MO,1.86,TO,0.19
primalgraphs_Kakuro-medium-109-ext.xml.hg.graph,10,TO,3.14,TO,0.26
primalgraphs_Kakuro-medium-110-ext.xml.hg.graph,8,TO,0.9,TO,0.06
primalgraphs_Kakuro-medium-111-ext.xml.hg.graph,11,101.12,0.88,TO,0.86
primalgraphs_Kakuro-medium-112-ext.xml.hg.graph,13,MO,2.67,TO,0.84
primalgraphs_Kakuro-medium-114-ext.xml.hg.graph,11,TO,1.26,TO,0.29
primalgraphs_Kakuro-medium-115-ext.xml.hg.graph,10,2937.01,1.36,TO,0.14
primalgraphs_Kakuro-medium-117-ext.xml.hg.graph,8,TO,0.9299999999999999,TO,0.1
primalgraphs_Kakuro-medium-118-ext.xml.hg.graph,10,1263.42,0.9199999999999999,TO,0.11
primalgraphs_Kakuro-medium-119-ext.xml.hg.graph,10,TO,3.52,TO,0.16
primalgraphs_Kakuro-medium-120-ext.xml.hg.graph,10,2104.01,1.33,TO,0.33
primalgraphs_Kakuro-medium-121-ext.xml.hg.graph,12,TO,1.4,TO,0.24
primalgraphs_Kakuro-medium-122-ext.xml.hg.graph,11,TO,1.55,TO,0.27
primalgraphs_Kakuro-medium-123-ext.xml.hg.graph,12,TO,5.27,TO,0.61
primalgraphs_Kakuro-medium-124-ext.xml.hg.graph,10,TO,1.31,TO,0.16
primalgraphs_Kakuro-medium-125-ext.xml.hg.graph,9,44.45,0.83,TO,0.11
primalgraphs_Kakuro-medium-126-ext.xml.hg.graph,9,TO,1.1400000000000001,TO,0.11
primalgraphs_Kakuro-medium-127-ext.xml.hg.graph,12,MO,3.6999999999999997,TO,0.35
primalgraphs_Kakuro-medium-128-ext.xml.hg.graph,12,TO,3.65,TO,0.36
primalgraphs_Kakuro-medium-129-ext.xml.hg.graph,14,MO,5.03,TO,1.06
primalgraphs_Kakuro-medium-130-ext.xml.hg.graph,11,TO,7.76,TO,1.6500000000000001
primalgraphs_Kakuro-medium-131-ext.xml.hg.graph,11,10.87,2.2800000000000002,TO,0.08
primalgraphs_Kakuro-medium-132-ext.xml.hg.graph,10,TO,0.94,TO,0.17
primalgraphs_Kakuro-medium-133-ext.xml.hg.graph,13,TO,3.4000000000000004,TO,1.04
primalgraphs_Kakuro-medium-134-ext.xml.hg.graph,13,TO,8.57,TO,10.29
primalgraphs_Kakuro-medium-136-ext.xml.hg.graph,10,TO,1.07,TO,0.15
primalgraphs_Kakuro-medium-137-ext.xml.hg.graph,14,TO,7.970000000000001,TO,0.95
primalgraphs_Kakuro-medium-140-ext.xml.hg.graph,13,MO,3.1300000000000003,TO,3.3
primalgraphs_Kakuro-medium-141-ext.xml.hg.graph,9,65.54,1.33,TO,0.11
primalgraphs_Kakuro-medium-145-ext.xml.hg.graph,13,TO,1.42,TO,0.53
primalgraphs_Kakuro-medium-146-ext.xml.hg.graph,13,MO,3.7,TO,0.97
primalgraphs_Kakuro-medium-147-ext.xml.hg.graph,11,TO,1.67,TO,0.31
primalgraphs_Kakuro-medium-149-ext.xml.hg.graph,10,MO,2.2600000000000002,TO,0.49
primalgraphs_Kakuro-medium-150-ext.xml.hg.graph,11,TO,1.98,TO,0.27
primalgraphs_Kakuro-medium-151-ext.xml.hg.graph,12,TO,4.12,TO,0.84
primalgraphs_Kakuro-medium-152-ext.xml.hg.graph,12,TO,3.1399999999999997,TO,0.27
primalgraphs_Kakuro-medium-153-ext.xml.hg.graph,18,950.05,134.98,TO,9.8
primalgraphs_Kakuro-medium-154-ext.xml.hg.graph,12,TO,6.0200000000000005,TO,0.21
primalgraphs_Kakuro-medium-155-ext.xml.hg.graph,9,0.03,0.9,0.36,0.12
primalgraphs_Kakuro-medium-156-ext.xml.hg.graph,8,TO,0.85,TO,0.08
primalgraphs_Kakuro-medium-158-ext.xml.hg.graph,8,TO,1.33,TO,0.11
primalgraphs_Kakuro-medium-159-ext.xml.hg.graph,17,TO,839.93,TO,2266.18
primalgraphs_Kakuro-medium-160-ext.xml.hg.graph,9,476.59000000000003,0.82,TO,0.06
primalgraphs_Kakuro-medium-162-ext.xml.hg.graph,17,MO,79.22,TO,301.74
primalgraphs_Kakuro-medium-165-ext.xml.hg.graph,12,TO,2.73,TO,0.24
primalgraphs_Kakuro-medium-166-ext.xml.hg.graph,10,TO,1.7400000000000002,TO,0.17
primalgraphs_Kakuro-medium-167-ext.xml.hg.graph,12,TO,3.0500000000000003,TO,1.43
primalgraphs_Kakuro-medium-168-ext.xml.hg.graph,12,MO,1.77,TO,2.65
primalgraphs_Kakuro-medium-169-ext.xml.hg.graph,12,TO,5.33,TO,0.67
primalgraphs_MaxCSP-connell.xml.hg.graph,4,0.15,0.22,0.0,0.03
primalgraphs_MaxCSP-eye.xml.hg.graph,3,0.15,0.35,0.01,0.03
primalgraphs_MaxCSP-simple.xml.hg.graph,3,0.01,0.16999999999999998,0.0,0.02
primalgraphs_MaxCSP-spot5-0008.xml.hg.graph,3,0.01,0.16999999999999998,0.0,0.02
primalgraphs_MaxCSP-wijsmanguo.xml.hg.graph,3,0.02,0.3,0.01,0.03
primalgraphs_NewSystem1.hg.graph,7,0.05,0.54,1833.09,0.04
primalgraphs_NewSystem2.hg.graph,7,0.22,2.09,TO,0.15
primalgraphs_NewSystem3.hg.graph,7,27.290000000000003,3.6300000000000003,TO,0.25
primalgraphs_NewSystem4.hg.graph,7,8.22,3.86,TO,0.29
primalgraphs_Nonogram-001-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-002-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-003-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-004-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-005-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-006-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-007-table.xml.hg.graph,-1,TO,TO,TO,RTE
primalgraphs_Nonogram-008-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-009-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-010-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-011-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-012-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-013-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-014-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-015-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-016-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-017-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-018-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-020-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-021-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-022-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-023-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-024-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-025-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-027-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-028-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-029-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-030-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-031-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-032-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-033-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-034-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-035-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-036-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-037-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-038-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-039-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-040-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-041-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-042-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-043-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-044-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-045-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-047-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-048-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-049-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-050-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-051-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-053-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-054-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-055-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-056-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-057-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-058-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-059-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-060-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-062-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-063-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-064-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-066-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-067-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-068-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-070-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-072-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-073-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-074-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-075-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-076-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-077-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-078-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-080-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-081-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-082-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-083-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-084-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-085-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-087-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-089-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-091-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-092-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-093-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-094-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-096-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-097-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-098-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-099-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-100-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-101-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-102-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-104-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-105-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-106-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-107-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-108-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-109-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-110-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-111-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-113-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-114-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-115-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-116-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-117-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-118-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-119-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-120-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-121-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-123-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-124-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-125-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-126-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-127-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-128-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-129-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-131-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-132-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-133-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-134-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-135-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-136-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-137-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-138-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-140-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-141-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-142-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-144-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-145-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-146-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-147-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-148-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-149-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-150-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-151-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-152-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-153-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-155-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-156-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-157-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-158-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-159-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-160-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-161-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-162-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-163-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-164-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-165-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-166-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-167-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-168-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-169-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-170-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-171-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-172-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-173-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-175-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-176-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-177-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-178-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-179-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Nonogram-180-table.xml.hg.graph,-1,TO,TO,TO,TO
primalgraphs_Ontology-256-q1.hg.graph,1,0.01,0.19,0.0,0.03
primalgraphs_Ontology-256-q10.hg.graph,3,0.02,0.19,0.0,0.03
primalgraphs_Ontology-256-q11.hg.graph,4,0.03,0.21000000000000002,0.0,0.04
primalgraphs_Ontology-256-q12.hg.graph,4,0.02,0.2,0.0,0.03
primalgraphs_Ontology-256-q13.hg.graph,4,0.02,0.19,0.0,0.03
primalgraphs_Ontology-256-q14.hg.graph,3,0.02,0.21,0.0,0.03
primalgraphs_Ontology-256-q15.hg.graph,4,0.02,0.21,0.0,0.03
primalgraphs_Ontology-256-q16.hg.graph,4,0.02,0.22,0.0,0.03
primalgraphs_Ontology-256-q17.hg.graph,4,0.02,0.21,0.0,0.03
primalgraphs_Ontology-256-q18.hg.graph,5,0.02,0.2,0.01,0.03
primalgraphs_Ontology-256-q19.hg.graph,3,0.03,0.2,0.01,0.03
primalgraphs_Ontology-256-q2.hg.graph,3,0.01,0.2,0.0,0.03
primalgraphs_Ontology-256-q20.hg.graph,5,0.02,0.22,0.0,0.03
primalgraphs_Ontology-256-q3.hg.graph,3,0.02,0.21000000000000002,0.0,0.03
primalgraphs_Ontology-256-q4.hg.graph,2,0.01,0.19,0.0,0.02
primalgraphs_Ontology-256-q5.hg.graph,3,0.01,0.22,0.0,0.03
primalgraphs_Ontology-256-q6.hg.graph,5,0.02,0.2,0.0,0.03
primalgraphs_Ontology-256-q7.hg.graph,2,0.01,0.21,0.0,0.03
primalgraphs_Ontology-256-q8.hg.graph,5,0.02,0.16999999999999998,0.0,0.03
primalgraphs_Ontology-256-q9.hg.graph,3,0.01,0.16999999999999998,0.0,0.03
primalgraphs_Pi-20-10-20-30-00.xml.hg.graph,7,0.03,0.28,0.02,0.04
primalgraphs_Pi-20-10-20-30-01.xml.hg.graph,7,0.03,0.29000000000000004,0.06,0.04
primalgraphs_Pi-20-10-20-30-02.xml.hg.graph,7,0.03,0.26,0.03,0.04
primalgraphs_Pi-20-10-20-30-03.xml.hg.graph,7,0.02,0.26,0.02,0.04
primalgraphs_Pi-20-10-20-30-04.xml.hg.graph,8,0.02,0.26,0.08,0.04
primalgraphs_Pi-20-10-20-30-05.xml.hg.graph,8,0.02,0.30000000000000004,0.1,0.04
primalgraphs_Pi-20-10-20-30-06.xml.hg.graph,7,0.03,0.28,0.03,0.04
primalgraphs_Pi-20-10-20-30-07.xml.hg.graph,7,0.03,0.25,0.02,0.04
primalgraphs_Pi-20-10-20-30-08.xml.hg.graph,7,0.03,0.27,0.01,0.05
primalgraphs_Pi-20-10-20-30-09.xml.hg.graph,7,0.02,0.33,0.01,0.04
primalgraphs_Pi-20-10-20-30-10.xml.hg.graph,7,0.01,0.27,0.03,0.04
primalgraphs_Pi-20-10-20-30-11.xml.hg.graph,7,0.03,0.32,0.1,0.04
primalgraphs_Pi-20-10-20-30-12.xml.hg.graph,7,0.03,0.36,0.01,0.04
primalgraphs_Pi-20-10-20-30-13.xml.hg.graph,7,0.02,0.34,0.03,0.04
primalgraphs_Pi-20-10-20-30-14.xml.hg.graph,7,0.03,0.28,0.0,0.04
primalgraphs_Pi-20-10-20-30-15.xml.hg.graph,7,0.02,0.28,0.03,0.04
primalgraphs_Pi-20-10-20-30-16.xml.hg.graph,7,0.03,0.27,0.04,0.04
primalgraphs_Pi-20-10-20-30-17.xml.hg.graph,8,0.04,0.32,0.08,0.04
primalgraphs_Pi-20-10-20-30-18.xml.hg.graph,7,0.02,0.24000000000000002,0.01,0.04
primalgraphs_Pi-20-10-20-30-19.xml.hg.graph,7,0.01,0.30000000000000004,0.03,0.05
primalgraphs_Pi-20-10-20-30-20.xml.hg.graph,7,0.03,0.31,0.04,0.04
primalgraphs_Pi-20-10-20-30-21.xml.hg.graph,7,0.03,0.28,0.05,0.05
primalgraphs_Pi-20-10-20-30-22.xml.hg.graph,7,0.03,0.27,0.01,0.04
primalgraphs_Pi-20-10-20-30-23.xml.hg.graph,7,0.03,0.32,0.1,0.04
primalgraphs_Pi-20-10-20-30-24.xml.hg.graph,8,0.01,0.3,0.1,0.05
primalgraphs_Pi-20-10-20-30-25.xml.hg.graph,7,0.03,0.30000000000000004,0.02,0.04
primalgraphs_Pi-20-10-20-30-26.xml.hg.graph,6,0.03,0.27,0.01,0.04
primalgraphs_Pi-20-10-20-30-27.xml.hg.graph,7,0.03,0.22,0.01,0.04
primalgraphs_Pi-20-10-20-30-28.xml.hg.graph,7,0.03,0.27,0.03,0.05
primalgraphs_Pi-20-10-20-30-29.xml.hg.graph,7,0.03,0.30000000000000004,0.05,0.04
primalgraphs_Pi-20-10-20-30-30.xml.hg.graph,8,0.02,0.26,0.09,0.04
primalgraphs_Pi-20-10-20-30-31.xml.hg.graph,8,0.03,0.35000000000000003,0.07,0.04
primalgraphs_Pi-20-10-20-30-32.xml.hg.graph,7,0.03,0.31,0.03,0.04
primalgraphs_Pi-20-10-20-30-33.xml.hg.graph,7,0.03,0.24,0.04,0.04
primalgraphs_Pi-20-10-20-30-34.xml.hg.graph,7,0.03,0.29000000000000004,0.02,0.04
primalgraphs_Pi-20-10-20-30-35.xml.hg.graph,7,0.04,0.26,0.01,0.04
primalgraphs_Pi-20-10-20-30-36.xml.hg.graph,8,0.02,0.27,0.03,0.05
primalgraphs_Pi-20-10-20-30-37.xml.hg.graph,7,0.03,0.26,0.06,0.05
primalgraphs_Pi-20-10-20-30-38.xml.hg.graph,7,0.01,0.26,0.02,0.04
primalgraphs_Pi-20-10-20-30-39.xml.hg.graph,7,0.02,0.31,0.06,0.04
primalgraphs_Pi-20-10-20-30-40.xml.hg.graph,7,0.03,0.31,0.02,0.04
primalgraphs_Pi-20-10-20-30-41.xml.hg.graph,7,0.03,0.27,0.0,0.04
primalgraphs_Pi-20-10-20-30-42.xml.hg.graph,8,0.03,0.31,0.06,0.04
primalgraphs_Pi-20-10-20-30-43.xml.hg.graph,6,0.03,0.24,0.0,0.04
primalgraphs_Pi-20-10-20-30-44.xml.hg.graph,8,0.03,0.32,0.16,0.04
primalgraphs_Pi-20-10-20-30-45.xml.hg.graph,7,0.03,0.31,0.01,0.04
primalgraphs_Pi-20-10-20-30-46.xml.hg.graph,7,0.01,0.25,0.03,0.04
primalgraphs_Pi-20-10-20-30-47.xml.hg.graph,7,0.01,0.27,0.04,0.04
primalgraphs_Pi-20-10-20-30-48.xml.hg.graph,7,0.02,0.24,0.01,0.04
primalgraphs_Pi-20-10-20-30-49.xml.hg.graph,8,0.01,0.27,0.02,0.04
primalgraphs_Pi-20-10-20-30-50.xml.hg.graph,7,0.03,0.28,0.15,0.05
primalgraphs_Pi-20-10-20-30-51.xml.hg.graph,7,0.04,0.26,0.01,0.04
primalgraphs_Pi-20-10-20-30-52.xml.hg.graph,8,0.03,0.26,0.07,0.04
primalgraphs_Pi-20-10-20-30-53.xml.hg.graph,8,0.03,0.25,0.24,0.04
primalgraphs_Pi-20-10-20-30-54.xml.hg.graph,8,0.03,0.32,0.07,0.04
primalgraphs_Pi-20-10-20-30-55.xml.hg.graph,8,0.03,0.26,0.22,0.04
